"winningHorseId","horses","level","settledAt","durationSeconds"
"SUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-11-23T20:42:23.246Z","184.84699577093124"
"LFS","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-11-28T18:07:39.231Z","94.5879802107811"
"WSY","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-11-28T21:15:23.909Z","181.71001821756363"
"DDD","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2025-11-30T15:55:23.196Z","61.29602640867233"
"LWN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2025-11-30T20:35:53.015Z","141.86601787805557"
"LWN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-12-03T18:14:31.748Z","190.10301232337952"
"SFE","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-12-04T00:16:22.195Z","86.28297597169876"
"LFS","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2025-12-05T16:15:23.415Z","101.80202275514603"
"FLP","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2025-12-05T20:37:29.000Z","72.60202020406723"
"MET","[""SFE"",""PSN"",""MET"",""LFS"",""SJU"",""VOD""]","Level2","2025-12-07T16:00:55.510Z","118.7490239739418"
"WSY","[""FLP"",""WSY"",""DDD"",""GUN"",""LWN"",""SUN""]","Level1","2025-12-07T20:14:50.227Z","40.85300713777542"
"WSY","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2025-12-10T16:07:16.888Z","99.23498779535294"
"WSY","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2025-12-10T19:27:19.595Z","73.36500138044357"
"MET","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2025-12-12T15:25:01.573Z","86.89299076795578"
"LWN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2025-12-12T21:16:43.563Z","74.55401122570038"
"SJU","[""SFE"",""PSN"",""MET"",""LFS"",""SJU"",""VOD""]","Level1","2025-12-16T14:01:15.433Z","37.192998826503754"
"LWN","[""FLP"",""WSY"",""DDD"",""GUN"",""LWN"",""SUN""]","Level1","2025-12-16T20:27:19.952Z","161.69001013040543"
"GUN","[""FLP"",""SFE"",""GUN""]","Level1","2025-12-20T18:17:09.069Z","143.04299801588058"
"DDD","[""DDD"",""LFS"",""SUN""]","Level1","2025-12-20T18:22:06.322Z","124.10699129104614"
"VOD","[""WSY"",""PSN"",""VOD""]","Level1","2025-12-20T18:27:33.267Z","133.2509770989418"
"LWN","[""MET"",""LWN"",""SJU""]","Level1","2025-12-20T18:32:20.835Z","39.843034744262695"
"GUN","[""GUN"",""DDD""]","Level1","2025-12-20T18:37:05.021Z","33.89400243759155"
"LWN","[""VOD"",""LWN""]","Level1","2025-12-20T18:41:51.380Z","51.372966170310974"
"LWN","[""GUN"",""LWN""]","Level1","2025-12-20T18:49:01.089Z","136.45703494548798"
"SFE","[""SFE"",""WSY""]","Level2","2026-01-02T20:16:12.923Z","572.4739819765091"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-04T15:26:43.679Z","138.8500213623047"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-04T15:33:16.615Z","148.07998538017273"
"MET","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-04T15:37:56.697Z","30.7430237531662"
"DDD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-01-04T15:45:15.937Z","169.77200210094452"
"MET","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-04T16:05:28.707Z","141.3120076060295"
"DDD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-01-04T16:17:02.349Z","307.3420062661171"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-04T17:35:11.863Z","258.5299998521805"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-04T20:59:04.582Z","92.6919937133789"
"WSY","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-06T15:41:18.414Z","27.112989127635956"
"FLP","[""FLP""]","Level2","2026-01-06T17:16:44.860Z","441.40496850013733"
"LFS","[""LFS"",""PSN""]","Level1","2026-01-06T17:30:58.607Z","219.14397329092026"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2026-01-06T20:35:09.096Z","21.37099653482437"
"FLP","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-08T16:04:36.775Z","124.64197129011154"
"SFE","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-20T16:06:33.358Z","270.67296355962753"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level3","2026-01-20T20:09:46.054Z","220.4770177602768"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-01-22T15:32:40.079Z","200.5700245499611"
"WSY","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-22T21:15:43.461Z","58.74798148870468"
"MET","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-24T15:45:46.071Z","100.3090113401413"
"LWN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2026-01-24T22:10:22.762Z","69.21302229166031"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-26T17:02:33.516Z","31.571021676063538"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-01-27T12:28:59.565Z","195.47300934791565"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-01-28T12:43:54.838Z","156.84300363063812"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-01-28T19:57:42.118Z","106.8159967660904"
"SFE","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-29T13:00:50.399Z","112.59697526693344"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-29T16:50:33.041Z","32.2199821472168"
"LFS","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-01-31T13:14:58.087Z","51.78201645612717"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2026-02-01T14:34:44.875Z","263.22198808193207"
"MET","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-02T15:17:19.364Z","231.6920042037964"
"LFS","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-02-02T20:35:44.639Z","82.77798593044281"
"WSY","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-04T16:20:45.682Z","95.25098204612732"
"SUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level3","2026-02-04T21:02:00.823Z","79.41300719976425"
"SJU","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-02-06T15:30:31.092Z","80.89700639247894"
"LWN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-06T20:50:38.347Z","258.9149907231331"
"SJU","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-09T16:01:52.203Z","150.50998628139496"
"SJU","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-02-09T21:25:24.912Z","57.72698521614075"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-11T22:10:58.883Z","78.78601402044296"
"FLP","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level1","2026-02-16T15:50:56.203Z","17.245008051395416"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level1","2026-02-16T18:03:01.499Z","44.188012182712555"
"SFE","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-17T15:56:10.731Z","66.9099971652031"
"GUN","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD""]","Level3","2026-02-17T20:05:21.735Z","67.98498630523682"
"LFS","[""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-02-18T15:46:48.308Z","226.2489840388298"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level2","2026-02-20T17:57:33.827Z","51.540979743003845"
"VOD","[""GUN"",""LWN"",""PSN"",""SJU"",""SUN"",""VOD"",""DDD"",""FLP"",""LFS"",""MET"",""SFE"",""WSY""]","Level3","2026-02-20T21:06:34.656Z","298.7620085477829"
